item_id	item_index
B00452V66G	0
B005O65JXI	1
B002LE8BJA	2
B003S68Q0Y	3
B004P8K24W	4
B003MVZ60S	5
B004WKRU7U	6
B003XIJ566	7
B00F6S0XL2	8
B000CRFOMK	9
B00DQFGH80	10
B00W8YAWDQ	11
B00XM883BK	12
B013DHNLN4	13
B01A09KCJ4	14
B00L3KO3YU	15
B00NH11N5A	16
B06XHXRXP1	17
B00ZV9RDKK	18
B01N32NCPM	19
B01MRFY61G	20
B06XP129CT	21
B010SDZZ80	22
B01N7QDO7M	23
B01DM6BDA4	24
B011MYEMKQ	25
B019WAQMVY	26
B00FV12VSW	27
B0131PHDQY	28
B017EVR2VM	29
B07KGVB6D6	30
B07JCJP2N5	31
B07X4V2M3B	32
B07GW9TJ3G	33
B01MZEEFNX	34
B07XJ8C8F7	35
B07S1CGQ9Z	36
B09BZZ3MM7	37
B005EOWBKE	38
B01LZV6TYQ	39
B000UXZQ42	40
B073BVWRSP	41
B01C6031MA	42
B010OYASRG	43
B01AG56HYQ	44
B00TKFCYP0	45
B08931JJLV	46
B0773ZPKS2	47
B07HHLX1R8	48
B01BV1XB2K	49
B006JRIDHK	50
B0143UM4TC	51
B06X16Z7DZ	52
B0009YJXMS	53
B0009YJXMI	54
B003I4FHNK	55
B00F5NB7MW	56
B004G7O1PI	57
B0088PUEPK	58
B009GUXU52	59
B004IZN3K2	60
B0015EDVVU	61
B00IYETYX8	62
B00JDVRCI0	63
B00812F7O8	64
B00MRVJYEI	65
B008NO9RRM	66
B00IF70T4M	67
B00RFLGH5E	68
B003RCI4OW	69
B00UJ3IULO	70
B003O973OA	71
B00007M1TZ	72
B004REA7MG	73
B00KNNSKV0	74
B01K3ADZ76	75
B000234UFG	76
B0026ZPFCK	77
B000QZ3UG0	78
B005B4M1RU	79
B00MH4ZVHO	80
B07DLRG9VH	81
B00LN3LQKQ	82
B0087X728K	83
B075Q4WSXD	84
B01JRY0VE4	85
B073SBZ8YH	86
B0090UG55A	87
B00N2VIALK	88
B00C2H0YUA	89
B000J2EN4S	90
B01HAPGEIE	91
B0787D6SGQ	92
B0722XPTL6	93
B00KXVBB3Q	94
B014I8SSD0	95
B01DFKC2SO	96
B06XWN9Q99	97
B005AKF1HW	98
B01CW4AR9K	99
B0143IIP4W	100
B0009AG2WQ	101
B01ITIXYR0	102
B079JD7F7G	103
B00MYTSN18	104
B005HXFARS	105
B075FCNF4B	106
B00F5R9TNM	107
B0062U2M4E	108
B001FWYGJS	109
B00BEWF4R2	110
B00E98O7GC	111
B010Q57S62	112
B00DYWC26G	113
B01NAG0YPD	114
B013JNUHR0	115
B01CCIKB5Q	116
B015NBTNHQ	117
B075M6275Q	118
B076BFZDG2	119
B000233WJ6	120
B005LFT37U	121
B07MLY3JKV	122
B07N2WRHMY	123
B07H8TJMX7	124
B00P0E394U	125
B00006JPE1	126
B08C9SL82G	127
B07FZ8S74R	128
B07N4DHFZM	129
B00EB6O4N8	130
B00NN0GEXQ	131
B0094D8UGU	132
B01MXSI216	133
B00S7YA5FQ	134
B01CLIZ698	135
B00LV8TZAG	136
B015VPX2EO	137
B016JREGAC	138
B003O1UYHG	139
B00V8FAWC2	140
B002RYYZZS	141
B003PHJJV6	142
B0036Q7MV0	143
B0012S4APK	144
B009C3M7H0	145
B0016MF7W2	146
B00001WRSJ	147
B005C983NA	148
B00R3NK2LE	149
B00KW1GNUS	150
B01MTDEYHU	151
B01KBXKP8W	152
B0777RY75V	153
B07GCLLKDC	154
B01GCPVZDW	155
B073QX1ZMS	156
B00EIQTOFY	157
B01HSODG10	158
B00NH13G5A	159
B06XX29S9Q	160
B072LS4JH7	161
B00B6ZCNGM	162
B0191XMBV2	163
B014RWAMWC	164
B0029U2YSA	165
B07BD32RLK	166
B015Z7XE0A	167
B002VJL0OS	168
B0012Y02CE	169
B001B077PO	170
B0027YYMU6	171
B001157NBW	172
B000Z9R2QQ	173
B001L1H0SC	174
B00123WZWK	175
B0012Y2LLE	176
B002U1ZBG0	177
B0002AKX6Y	178
B00BGGDVOO	179
B003XM73P2	180
B017DH3O5A	181
B00NH124VM	182
B002CQU14A	183
B07D7Q41PM	184
B07Q5HMXTN	185
B07W4CXP6Y	186
B00E2UTU3W	187
B002VPE1WK	188
B0036NMQ7S	189
B00E3W1726	190
B00CHNREYS	191
B0002SKHIK	192
B002SXMRO4	193
B00GYL9KK0	194
B00DZPUOUI	195
B00KGE4VS2	196
B00EOTYZOA	197
B00X8MRBCW	198
B00OHDD9V8	199
B00MNA7E7W	200
B0038W0K2K	201
B014EUQOGK	202
B00EQT0YK2	203
B01MCU1ERO	204
B01LXCDPPK	205
B01E140XWA	206
B0134QJH4G	207
B00NXZN0HY	208
B00NZTKOQI	209
B001GWCC4I	210
B002OOWB3O	211
B001ELJER4	212
B009KUE71O	213
B0096KSBB0	214
B00429N19W	215
B00CMKOVMO	216
B075XMZMWY	217
B000KS8S9W	218
B002J9HBIO	219
B00M7T8T1E	220
B00E9W1ULS	221
B00002NDS2	222
B06W55K9N6	223
B078211KBB	224
B000JE7GPY	225
B000HEW0KW	226
B001F42MKG	227
B000A6PPOK	228
B00PBEFUOG	229
B001PS9E5I	230
B003L14ZTC	231
B00BD8I3EI	232
B0095EFXMC	233
B01H74VKZU	234
B004EHSV4W	235
B001DFS49U	236
B01L8LLP2G	237
B00EB7812C	238
B06XGKBL3R	239
B01CCMUN8C	240
B00YOSA85Q	241
B0028Y4DCC	242
B005FYNT3G	243
B003CH8NXY	244
B0014Z29OU	245
B00DQJME7Y	246
B015QTOS0C	247
B00ECZFDR4	248
B0009Y7AX2	249
B00QV1F1C4	250
B01B4GT4A0	251
B011KLFERG	252
B00P0FO0Y2	253
B00FJG5T4W	254
B00NH11KIK	255
B003NR57BY	256
B01N5IB20Q	257
B07DC5PPFV	258
B079QHML21	259
B073JYC4XM	260
B012WF7ORW	261
B07SYHQ2PS	262
B014RWATK2	263
B00JX1ZS5O	264
B00F5CKWBA	265
B07N1WW638	266
B00NH11H38	267
B0195Y0A42	268
B0786QNS9B	269
B0794RHPZD	270
B06XHY5VXF	271
B00M77HMU0	272
B074TSNMN8	273
B07D998212	274
B07T3KCQ94	275
B0759567JT	276
B00IDSM6BW	277
B0178HOTOU	278
B07B6CRW6D	279
B00QXT5T3U	280
B07V1SQ966	281
B01J7ACS6W	282
B00M1C03U2	283
B07M8QR83T	284
B0887P21Z2	285
B073SB2MXW	286
B07VP5X239	287
B01LMZZFWO	288
B07CVX3516	289
B078STRHBX	290
B0815XFSGK	291
B0163H1HT6	292
B001NEK2GE	293
B003DZ166Q	294
B001KUV2KQ	295
B001EPUQAE	296
B00264GYMG	297
B00CO8TBQ0	298
B004I9J5OG	299
B018MT6ZEK	300
B011M8YACM	301
B00DI8A05Q	302
B0002MQGRC	303
B00EEBS9O0	304
B00MFDX4YO	305
B000068O4Y	306
B00F0H8TOC	307
B001AR6MI6	308
B00BZC31WQ	309
B00IVPU6BY	310
B00IVPU88U	311
B000I23TTE	312
B004GW25WY	313
B001E1Y5O6	314
B0025PKFUI	315
B00BCGRZ04	316
B000BSLW8U	317
B002VG39BI	318
B000V0ETA6	319
B00006B8K2	320
B00DR0RBV6	321
B00FOU3KYE	322
B0002D6QJO	323
B01BH83OOM	324
B01MD1SMBS	325
B01J24C0TI	326
B01MS1PMML	327
B01018DC96	328
B01CQOV3YO	329
B01FHMPV1S	330
B00LRYUJQS	331
B0791T9CV7	332
B07NQSQRWV	333
B07WGSJ51B	334
B07XKF5RM3	335
B076MPMZDV	336
B00N2BVOUE	337
B00IHMFK44	338
B00ESM3ISM	339
B0052AWGLE	340
B00BPEV1XK	341
B004MF11MU	342
B0077L8YOO	343
B004GUS4XK	344
B007T1CTDE	345
B001TH7GUU	346
B009QXFFYS	347
B00F19PZXW	348
B00F19PYR4	349
B00I2VIR2M	350
B009QZH6JS	351
B000B8L6NG	352
B00BIFNTMC	353
B00C5H5DN0	354
B000WYVBR0	355
B00SW9JI9A	356
B014I8UQJY	357
B01MSPQ4TL	358
B000JE9LCK	359
B00GTV05XG	360
B00HQC8WSM	361
